TBLASTN 2.2.29+


Reference: Stephen F. Altschul, Thomas L. Madden, Alejandro A.
Schaffer, Jinghui Zhang, Zheng Zhang, Webb Miller, and David J.
Lipman (1997), "Gapped BLAST and PSI-BLAST: a new generation of
protein database search programs", Nucleic Acids Res. 25:3389-3402.



Database: Cnidarians
           59,203 sequences; 3,418,506,885 total letters



Query= AAB47805.1 ankyrin [Homo sapiens]

Length=1856
                                                                      Score     E
  NW_004168016.1 Hydra vulgaris strain 105 unplaced genomic scaff...  49.7    3e-04
  LJWW01000147.1 Exaiptasia pallida isolate CC7 scaffold147, whol...  49.7    3e-04
  scaffold_166                                                        49.7    3e-04
  adi_Scaffold63                                                      49.7    3e-04
  scaffold_2999                                                       49.7    3e-04
  afen_scaffold_962                                                   49.7    4e-04
  afen_scaffold_577                                                   49.7    4e-04
  scaffold_174                                                        49.7    4e-04
  afen_scaffold_77                                                    49.7    4e-04
  dspp_scaffold_115                                                   49.7    4e-04
  NW_004166944.1 Hydra vulgaris strain 105 unplaced genomic scaff...  49.7    4e-04
  scaffold_20                                                         49.3    4e-04
  LJWW01000532.1 Exaiptasia pallida isolate CC7 scaffold533, whol...  49.3    4e-04
  scaffold_45                                                         49.3    4e-04
  dspp_scaffold_67                                                    49.3    4e-04
  LJWW01000059.1 Exaiptasia pallida isolate CC7 scaffold59, whole...  49.3    4e-04
  adi_Scaffold1334                                                    49.3    5e-04
  adi_Scaffold99                                                      49.3    5e-04
  dspp_scaffold_260                                                   48.9    5e-04
  scaffold_58                                                         48.9    6e-04
  LJWW01000251.1 Exaiptasia pallida isolate CC7 scaffold252, whol...  48.9    6e-04
  afen_scaffold_181                                                   48.5    7e-04
  adi_Scaffold1126                                                    48.5    7e-04
  NW_004173930.1 Hydra vulgaris strain 105 unplaced genomic scaff...  42.7    7e-04
  NW_004166916.1 Hydra vulgaris strain 105 unplaced genomic scaff...  48.5    7e-04
  NW_004177902.1 Hydra vulgaris strain 105 unplaced genomic scaff...  48.5    7e-04
  NW_004169406.1 Hydra vulgaris strain 105 unplaced genomic scaff...  48.5    8e-04
  scaffold_54                                                         48.5    8e-04
  LJWW01000277.1 Exaiptasia pallida isolate CC7 scaffold278, whol...  48.5    8e-04
  NW_018149419.1 Orbicella faveolata isolate FL unplaced genomic ...  48.5    8e-04
  NW_004168773.1 Hydra vulgaris strain 105 unplaced genomic scaff...  48.5    8e-04
  SczhEnG_3530                                                        48.5    8e-04
  dspp_scaffold_60                                                    48.5    8e-04
  dspp_scaffold_231                                                   48.1    9e-04
  LJWW01000281.1 Exaiptasia pallida isolate CC7 scaffold282, whol...  48.1    9e-04
  NW_018149309.1 Orbicella faveolata isolate FL unplaced genomic ...  48.1    0.001
  afen_scaffold_52                                                    48.1    0.001
  dspp_scaffold_80                                                    48.1    0.001
  SczhEnG_1897                                                        48.1    0.001
  adi_Scaffold1594                                                    47.8    0.001
  dspp_scaffold_5                                                     47.8    0.001
  SczhEnG_964                                                         47.8    0.001
  LJWW01000257.1 Exaiptasia pallida isolate CC7 scaffold258, whol...  47.8    0.001
  SczhEnG_476                                                         47.8    0.001
  afen_scaffold_176                                                   47.8    0.001
  LJWW01000208.1 Exaiptasia pallida isolate CC7 scaffold209, whol...  47.8    0.001
  adi_Scaffold211                                                     47.8    0.001
  scaffold_148                                                        47.8    0.001
  adi_Scaffold123                                                     47.4    0.002
  adi_Scaffold130                                                     47.4    0.002
  SczhEnG_904                                                         47.4    0.002
  afen_scaffold_239                                                   47.4    0.002
  NW_018149126.1 Orbicella faveolata isolate FL unplaced genomic ...  47.4    0.002
  scaffold_312                                                        47.4    0.002
  adi_Scaffold1509                                                    47.4    0.002
  NW_018149381.1 Orbicella faveolata isolate FL unplaced genomic ...  47.4    0.002
  afen_scaffold_881                                                   47.4    0.002
  SczhEnG_1333                                                        47.0    0.002
  afen_scaffold_55                                                    47.0    0.002
  afen_scaffold_546                                                   47.0    0.002
  NW_004168618.1 Hydra vulgaris strain 105 unplaced genomic scaff...  47.0    0.002
  adi_Scaffold396                                                     47.0    0.002
  dspp_scaffold_10                                                    47.0    0.002
  afen_scaffold_6                                                     47.0    0.002
  afen_scaffold_26                                                    47.0    0.002
  adi_Scaffold433                                                     47.0    0.002
  adi_Scaffold267                                                     47.0    0.002
  NW_004172048.1 Hydra vulgaris strain 105 unplaced genomic scaff...  38.1    0.002
  NW_018149118.1 Orbicella faveolata isolate FL unplaced genomic ...  47.0    0.002
  adi_Scaffold27                                                      47.0    0.003
  LJWW01000103.1 Exaiptasia pallida isolate CC7 scaffold103, whol...  46.6    0.003
  dspp_scaffold_22                                                    46.6    0.003
  LJWW01000054.1 Exaiptasia pallida isolate CC7 scaffold54, whole...  46.6    0.003
  NW_004167104.1 Hydra vulgaris strain 105 unplaced genomic scaff...  46.6    0.003
  afen_scaffold_740                                                   46.6    0.003
  NW_018148817.1 Orbicella faveolata isolate FL unplaced genomic ...  46.6    0.003
  dspp_scaffold_332                                                   46.2    0.003
  NW_004171163.1 Hydra vulgaris strain 105 unplaced genomic scaff...  46.2    0.003
  NW_018150412.1 Orbicella faveolata isolate FL unplaced genomic ...  46.2    0.004
  NW_018149353.1 Orbicella faveolata isolate FL unplaced genomic ...  46.2    0.004
  NW_018149314.1 Orbicella faveolata isolate FL unplaced genomic ...  46.2    0.004
  dspp_scaffold_327                                                   46.2    0.004
  SczhEnG_3973                                                        46.2    0.004
  afen_scaffold_8                                                     46.2    0.004
  scaffold_2889                                                       45.8    0.004
  adi_Scaffold405                                                     46.2    0.004
  afen_scaffold_2472                                                  45.8    0.004
  NW_018149514.1 Orbicella faveolata isolate FL unplaced genomic ...  46.2    0.004
  scaffold_171                                                        45.8    0.004
  adi_Scaffold149                                                     45.8    0.005
  NW_018150109.1 Orbicella faveolata isolate FL unplaced genomic ...  45.8    0.005
  NW_004172949.1 Hydra vulgaris strain 105 unplaced genomic scaff...  45.8    0.005
  adi_Scaffold810                                                     45.8    0.005
  adi_Scaffold265                                                     45.8    0.005
  afen_scaffold_194                                                   45.8    0.005
  NW_004170181.1 Hydra vulgaris strain 105 unplaced genomic scaff...  45.8    0.005
  adi_Scaffold39                                                      45.8    0.005
  NW_018149431.1 Orbicella faveolata isolate FL unplaced genomic ...  45.8    0.006
  dspp_scaffold_14                                                    45.8    0.006
